time,Open,High,Low,Close,Adj Close,Volume
2017-07-26,2479.969971,2481.689941,2474.939941,2477.830078,2477.830078,3557020000
2017-07-27,2482.760010,2484.040039,2459.929932,2475.419922,2475.419922,3995520000
2017-07-28,2469.120117,2473.530029,2464.659912,2472.100098,2472.100098,3294770000
2017-07-31,2475.939941,2477.959961,2468.530029,2470.300049,2470.300049,3469210000
2017-08-01,2477.100098,2478.510010,2471.139893,2476.350098,2476.350098,3460860000
2017-08-02,2480.379883,2480.379883,2466.479980,2477.570068,2477.570068,3478580000
2017-08-03,2476.030029,2476.030029,2468.850098,2472.159912,2472.159912,3645020000
2017-08-04,2476.879883,2480.000000,2472.080078,2476.830078,2476.830078,3235140000
2017-08-07,2477.139893,2480.949951,2475.879883,2480.909912,2480.909912,2931780000
2017-08-08,2478.350098,2490.870117,2470.320068,2474.919922,2474.919922,3344640000
2017-08-09,2465.350098,2474.409912,2462.080078,2474.020020,2474.020020,3308060000
2017-08-10,2465.379883,2465.379883,2437.750000,2438.209961,2438.209961,3621070000
2017-08-11,2441.040039,2448.090088,2437.850098,2441.320068,2441.320068,3159930000
2017-08-14,2454.959961,2468.219971,2454.959961,2465.840088,2465.840088,2822550000
2017-08-15,2468.659912,2468.899902,2461.610107,2464.610107,2464.610107,2913100000
2017-08-16,2468.629883,2474.929932,2463.860107,2468.110107,2468.110107,2953650000
2017-08-17,2462.949951,2465.020020,2430.010010,2430.010010,2430.010010,3142620000
2017-08-18,2427.639893,2440.270020,2420.689941,2425.550049,2425.550049,3415680000
2017-08-21,2425.500000,2430.580078,2417.350098,2428.370117,2428.370117,2788150000
2017-08-22,2433.750000,2454.770020,2433.669922,2452.510010,2452.510010,2777490000
2017-08-23,2444.879883,2448.909912,2441.419922,2444.040039,2444.040039,2785290000
2017-08-24,2447.909912,2450.389893,2436.189941,2438.969971,2438.969971,2846590000
2017-08-25,2444.719971,2453.959961,2442.219971,2443.050049,2443.050049,2588780000
2017-08-28,2447.350098,2449.120117,2439.030029,2444.239990,2444.239990,2677700000
2017-08-29,2431.939941,2449.189941,2428.199951,2446.300049,2446.300049,2737580000
2017-08-30,2446.060059,2460.310059,2443.770020,2457.590088,2457.590088,2633660000
2017-08-31,2462.649902,2475.010010,2462.649902,2471.649902,2471.649902,3348110000
2017-09-01,2474.419922,2480.379883,2473.850098,2476.550049,2476.550049,2710730000
2017-09-05,2470.350098,2471.969971,2446.550049,2457.850098,2457.850098,3490260000
2017-09-06,2463.830078,2469.639893,2459.199951,2465.540039,2465.540039,3374410000
2017-09-07,2468.060059,2468.620117,2460.290039,2465.100098,2465.100098,3353930000
2017-09-08,2462.250000,2467.110107,2459.399902,2461.429932,2461.429932,3302490000
2017-09-11,2474.520020,2488.949951,2474.520020,2488.110107,2488.110107,3291760000
2017-09-12,2491.939941,2496.770020,2490.370117,2496.479980,2496.479980,3230920000
2017-09-13,2493.889893,2498.370117,2492.139893,2498.370117,2498.370117,3368050000
2017-09-14,2494.560059,2498.429932,2491.350098,2495.620117,2495.620117,3414460000
2017-09-15,2495.669922,2500.229980,2493.159912,2500.229980,2500.229980,4853170000
2017-09-18,2502.510010,2508.320068,2499.919922,2503.870117,2503.870117,3194300000
2017-09-19,2506.290039,2507.840088,2503.189941,2506.649902,2506.649902,3249100000
2017-09-20,2506.840088,2508.850098,2496.669922,2508.239990,2508.239990,3530010000
2017-09-21,2507.159912,2507.159912,2499.000000,2500.600098,2500.600098,2930860000
2017-09-22,2497.260010,2503.469971,2496.540039,2502.219971,2502.219971,2865960000
2017-09-25,2499.389893,2502.540039,2488.030029,2496.659912,2496.659912,3297890000
2017-09-26,2501.040039,2503.510010,2495.120117,2496.840088,2496.840088,3043110000
2017-09-27,2503.300049,2511.750000,2495.909912,2507.040039,2507.040039,3456030000
2017-09-28,2503.409912,2510.810059,2502.929932,2510.060059,2510.060059,3168620000
2017-09-29,2509.959961,2519.439941,2507.989990,2519.360107,2519.360107,3211920000
2017-10-02,2521.199951,2529.229980,2520.399902,2529.120117,2529.120117,3199730000
2017-10-03,2530.340088,2535.129883,2528.850098,2534.580078,2534.580078,3068850000
2017-10-04,2533.479980,2540.530029,2531.800049,2537.739990,2537.739990,3017120000
2017-10-05,2540.860107,2552.510010,2540.020020,2552.070068,2552.070068,3045120000
2017-10-06,2547.439941,2549.409912,2543.790039,2549.330078,2549.330078,2884570000
2017-10-09,2551.389893,2551.820068,2541.600098,2544.729980,2544.729980,2483970000
2017-10-10,2549.989990,2555.229980,2544.860107,2550.639893,2550.639893,2960500000
2017-10-11,2550.620117,2555.239990,2547.949951,2555.239990,2555.239990,2976090000
2017-10-12,2552.879883,2555.330078,2548.310059,2550.929932,2550.929932,3151510000
2017-10-13,2555.659912,2557.649902,2552.090088,2553.169922,2553.169922,3149440000
2017-10-16,2555.570068,2559.469971,2552.639893,2557.639893,2557.639893,2916020000
2017-10-17,2557.169922,2559.709961,2554.689941,2559.360107,2559.360107,2889390000
2017-10-18,2562.870117,2564.110107,2559.669922,2561.260010,2561.260010,2998090000
2017-10-19,2553.389893,2562.360107,2547.919922,2562.100098,2562.100098,2990710000
2017-10-20,2567.560059,2575.439941,2567.560059,2575.209961,2575.209961,3384650000
2017-10-23,2578.080078,2578.290039,2564.330078,2564.979980,2564.979980,3211710000
2017-10-24,2568.659912,2572.179932,2565.580078,2569.129883,2569.129883,3427330000
2017-10-25,2566.520020,2567.399902,2544.000000,2557.149902,2557.149902,3874510000
2017-10-26,2560.080078,2567.070068,2559.800049,2560.399902,2560.399902,3869050000
2017-10-27,2570.260010,2582.979980,2565.939941,2581.070068,2581.070068,3887110000
2017-10-30,2577.750000,2580.030029,2568.250000,2572.830078,2572.830078,3658870000
2017-10-31,2575.989990,2578.290039,2572.149902,2575.260010,2575.260010,3827230000
2017-11-01,2583.209961,2588.399902,2574.919922,2579.360107,2579.360107,3813180000
2017-11-02,2579.459961,2581.110107,2566.169922,2579.850098,2579.850098,4048270000
2017-11-03,2581.929932,2588.419922,2576.770020,2587.840088,2587.840088,3567710000
2017-11-06,2587.469971,2593.379883,2585.659912,2591.129883,2591.129883,3539080000
2017-11-07,2592.110107,2597.020020,2584.350098,2590.639893,2590.639893,3809650000
2017-11-08,2588.709961,2595.469971,2585.020020,2594.379883,2594.379883,3899360000
